date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
07 Jul 06:00,-1.01512289360,-1.01088312572,-1.01245307678,-1.00923643682,-1.00347767195,-1.00595428292,-1.00774175319,-0.992543734279,-1.00421715712
07 Jul 07:00,-0.589753614126,-0.582201895785,-0.586802236583,-0.57843323423,-0.567725388814,-0.574842303276,-0.573878369795,-0.544399546077,-0.571396392134
07 Jul 08:00,0.0517640915371,0.0607294420445,0.0547620831102,0.0668256188972,0.0799876780185,0.0701520423606,0.0760544600526,0.11569936623,0.0757010509219
07 Jul 09:00,0.253602898304,0.259376712486,0.256494037395,0.266868287922,0.276048634325,0.269668886026,0.282441611391,0.320264921984,0.278633323989
07 Jul 10:00,0.347262977909,0.352068249115,0.350031888073,0.360710333684,0.368526656473,0.362464458161,0.383636680595,0.423708722905,0.37305265537
07 Jul 11:00,0.395196647504,0.401562993422,0.398410997972,0.412958466572,0.424126047512,0.414143276027,0.463163823123,0.526270037213,0.434671429902
07 Jul 12:00,0.511061292795,0.519238750653,0.513913201552,0.532638575834,0.551382762134,0.535263010635,0.618373294466,0.775624452546,0.570931563876
07 Jul 13:00,0.615509358143,0.629280524338,0.621719216189,0.642875009324,0.670711316403,0.650752454202,0.74466663589,0.989551177408,0.713641063987
07 Jul 14:00,0.753333954122,0.769093564952,0.763771943357,0.78073913163,0.819106015937,0.798483454795,0.857983647776,1.18615383602,0.91313010637
07 Jul 15:00,0.836257995889,0.853092561432,0.850828938099,0.864847806795,0.902584186331,0.888722061549,0.911446570284,1.27889953168,1.08928367142
07 Jul 16:00,0.735174490901,0.748618671123,0.75312443568,0.753371258185,0.78640240801,0.80485859291,0.789143305583,1.71915814466,1.67775651100
07 Jul 17:00,0.528048954604,0.538263784644,0.548317854456,0.540144507088,0.566063266294,0.592702182625,0.560850952064,0.780304818493,1.27677990588
07 Jul 18:00,0.396946106646,0.403870620999,0.41697392775,0.402904722691,0.415854872771,0.436549178888,0.416520276974,0.479633414931,0.870905860632
07 Jul 19:00,0.302533786704,0.305492087311,0.315162957449,0.302423036047,0.306637807894,0.318783839004,0.307043052104,0.321216824571,0.333801426052
07 Jul 20:00,0.239100561924,0.240182402184,0.247900975232,0.23694306188,0.237505926517,0.246733720932,0.237142126254,0.232374013081,0.246188724561
07 Jul 21:00,0.153467975973,0.153206252291,0.160612653466,0.150731412245,0.149464849457,0.158633835381,0.150442985029,0.140586630001,0.157749075135
07 Jul 22:00,0.11394949895,0.113375695559,0.119712187115,0.111963498546,0.110382067142,0.118326946641,0.111347578881,0.100644328133,0.117243555602
07 Jul 23:00,0.0708358272714,0.0694766026479,0.0753292610949,0.0688689660274,0.0662761148581,0.0738038917953,0.0676300397433,0.054417421413,0.0722537934836
08 Jul 00:00,-0.00440434057629,-0.0060860595893,-0.000899436031822,-0.00604410114577,-0.00895258327772,-0.00220470150653,-0.0073670084743,-0.0207619587992,-0.00374058015644
08 Jul 01:00,-0.0393411919939,-0.0409093121561,-0.0364650894399,-0.0404716536105,-0.0431949056741,-0.0373312069204,-0.042193326429,-0.0553600513662,-0.03920831945
08 Jul 02:00,-0.172524478488,-0.174512787736,-0.170167892452,-0.17408411162,-0.177477187986,-0.171553500813,-0.176478101036,-0.191729456562,-0.174016204459
08 Jul 03:00,-0.324225824586,-0.3260508834,-0.322215662771,-0.325750335743,-0.329067911053,-0.32363464103,-0.328870473569,-0.344867338792,-0.326776720764
08 Jul 04:00,-0.474091438662,-0.475320092858,-0.47239118402,-0.475153399266,-0.477735825383,-0.473393367959,-0.478678278351,-0.49338185534,-0.476925473632
08 Jul 05:00,-0.544991133792,-0.544918413553,-0.543358913093,-0.544510743808,-0.545159972656,-0.542777510312,-0.547599073125,-0.557009819804,-0.545939302528
08 Jul 06:00,-0.443092444658,-0.440653862985,-0.440997712666,-0.437026737797,-0.433086576931,-0.434282016738,-0.433306036051,-0.419129694251,-0.430234886839
08 Jul 07:00,-0.186531599582,-0.182190234404,-0.184405757313,-0.176702106427,-0.169721161737,-0.173971273444,-0.16974648368,-0.145044883757,-0.167977967281
08 Jul 08:00,0.119233379436,0.124372150825,0.121291774104,0.131835835478,0.140313386381,0.13414501462,0.143486970102,0.176214224077,0.142368183238
08 Jul 09:00,0.237126984466,0.241989334935,0.239318009963,0.250637216184,0.258810022033,0.25269606946,0.267121750578,0.303327658623,0.262764398267
08 Jul 10:00,0.267869263667,0.273075782927,0.270116386964,0.282845339247,0.29140672788,0.284091942408,0.306280436729,0.347977864478,0.295383323063
08 Jul 11:00,0.299685059451,0.307303042795,0.302494011667,0.319735278975,0.332777161162,0.320590542992,0.369978603599,0.436269687631,0.34131186318
08 Jul 12:00,0.369581974053,0.379239192951,0.372081667423,0.393636156754,0.414495458332,0.395929702204,0.479670033213,0.639607136817,0.431474505434
08 Jul 13:00,0.441801888697,0.456671922485,0.447600213374,0.471279842499,0.500685681937,0.478777370779,0.574254966082,0.823048404373,0.54221399756
08 Jul 14:00,0.495082922161,0.51167502549,0.505031109209,0.524369679647,0.564244262058,0.541760692854,0.603319834636,0.935923112039,0.658161999326
08 Jul 15:00,0.526761840736,0.544995812249,0.540822265371,0.557819928233,0.597575699706,0.581040487925,0.604850461844,0.97408645472,0.782544865173
08 Jul 16:00,0.505653322341,0.521109753383,0.523245274883,0.526884391411,0.56278619475,0.57824909132,0.562945332601,1.49841889446,1.45173790314
